BOTSOURCE,SURVYEAR
3,2026
3,2026
4,2026
3,2026
3,2026
3,2026
4,2026
3,2026
4,2026
3,2026
4,2026
5,2026
3,2026
4,2026
3,2026
1,2026
4,2026
5,2026
4,2026
5,2026
4,2026
5,2026
5,2026
5,2026
5,2026
5,2026
5,2026
5,2026
4,2026
5,2026
4,2026
4,2026
3,2026
3,2026
3,2026
5,2026
3,2026
5,2026
2,2026
4,2026
3,2026
5,2026
4,2026
3,2026
4,2026
5,2026
5,2026
3,2026
4,2026
1,2026
3,2026
2,2026
5,2026
4,2026
2,2026
5,2026
5,2026
3,2026
4,2026
2,2026
4,2026
4,2026
5,2026
3,2026
4,2026
3,2026
2,2026
5,2026
4,2026
2,2026
3,2026
5,2026
5,2026
3,2026
5,2026
5,2026
3,2026
4,2026
2,2026
4,2026
3,2026
5,2026
4,2026
3,2026
4,2026
3,2026
2,2026
4,2026
5,2026
3,2026
2,2026
2,2026
3,2026
1,2026
3,2026
1,2026
5,2026
4,2026
5,2026
3,2026
3,2026
3,2026
2,2026
3,2026
3,2026
4,2026
2,2026
1,2026
2,2026
4,2026
3,2026
3,2026
1,2026
4,2026
2,2026
2,2026
4,2026
5,2026
5,2026
3,2026
3,2026
5,2026
2,2026
4,2026
1,2026
4,2026
4,2026
4,2026
3,2026
5,2026
3,2026
2,2026
2,2026
4,2026
3,2026
2,2026
2,2026
3,2026
2,2026
4,2026
4,2026
4,2026
5,2026
3,2026
4,2026
4,2026
5,2026
2,2026
3,2026
5,2026
4,2026
1,2026
4,2026
5,2026
4,2026
5,2026
5,2026
3,2026
2,2026
2,2026
5,2026
1,2026
3,2026
5,2026
1,2026
1,2026
3,2026
4,2026
5,2026
3,2026
4,2026
4,2026
2,2026
4,2026
5,2026
4,2026
4,2026
5,2026
2,2026
2,2026
2,2026
3,2026
3,2026
1,2026
2,2026
5,2026
4,2026
3,2026
4,2026
4,2026
3,2026
5,2026
4,2026
3,2026
3,2026
1,2026
1,2026
1,2026
1,2026
4,2026
2,2026
1,2026
1,2026
5,2026
4,2026
2,2026
2,2026
4,2026
3,2026
2,2026
3,2026
3,2026
3,2026
3,2026
